Product,Price (€),Main functions,Features,Recommended for,Tags
Vital C Serum 30ml,49.90,"VITAMIN C, RADIANCE, HYDRATING, ANTI-STRESS","- Lightweight fast-absorbing serum.
- Boosts skin radiance.
- Lightens spots and evens skin tone.
- Skin feels more hydrated, elastic, with reduced wrinkles.
- Combats tired appearance due to stress.
- Antioxidant function protects against free radicals.
- Strengthens the skin barrier.","- For all skin types and ages.
- Ideal for dull, dehydrated skin or sunspots.
- To keep skin healthy and radiant against pollution/stress.","vitamin_c, radiance, hydrating, antioxidant, anti_stress, hyaluronic_acid, panthenol"
Vital C Cream 30ml,25.90,"VITAMIN C CREAM, RADIANCE, HYDRATING, ANTI-STRESS","- Lightweight silky cream with fast absorption.
- Boosts radiance and evens skin tone.
- Combats tired look and protects against free radicals.
- Strengthens skin barrier with Vitamin C + hyaluronic acid.","- For all skin types.
- Ideal for dull skin or sunspots.
- To enhance radiance and provide antioxidants.","vitamin_c, radiance, hydrating, antioxidant, anti_stress, hyaluronic_acid, panthenol"
Tinolvital Serum 30ml,49.90,"GLOBAL ANTI-AGING, ANTI-WRINKLE WITH RETINOL","- Night serum with retinol (3% retinyl palmitate + 1% marine retinol).
- Softens expression and deep wrinkles.
- Activates collagen and elastin synthesis.
- Improves skin texture and pore appearance.","- For all skin types, including sensitive.
- Ideal for beginners in retinol.
- Combination/oily skin due to sebum-regulating effect.","retinol, anti_aging, anti_wrinkle, firming, sebum_regulating, radiance"
Tinolvital Cream 50ml,39.90,"GLOBAL ANTI-AGING NIGHT CREAM, ANTI-WRINKLE WITH RETINOL","- Reduces expression and permanent wrinkles.
- Improves firmness, elasticity, and radiance.
- Provides extra nourishment for normal-dry skin.","- Ideal for beginners in retinol.
- Normal to dry skin seeking nutrition + anti-aging.","retinol, anti_aging, anti_wrinkle, radiance, nutrition, firmness"
Pure Retinol Serum 30ml,49.90,"GLOBAL ANTI-AGING, ANTI-WRINKLE WITH PURE RETINOL AND MARINE RETINOL","- Pure retinol 0.3% + marine retinol without irritation.
- Improves firmness, texture, and evens tone.
- Formula with 5% niacinamide and calming extracts.
- 100% sustainable.","- For all skin types.
- Global anti-aging treatment.
- Combination/oily skin due to sebum-regulating effect.","retinol, anti_aging, anti_wrinkle, sebum_regulating, niacinamide, cell_renewal"
Retinol Pack Serum + Cream,49.90,"GLOBAL ANTI-AGING, ANTI-WRINKLE WITH RETINOL","- Includes Serum 30ml + Cream 50ml.
- Combines pure retinol 0.3% + marine retinal.
- Depigmenting with Bellis Perennis extract.
- Improves texture, pores, and collagen synthesis.","- Global anti-aging treatment.
- Combination/oily or spot-prone skin.
- To even tone and improve radiance.","retinol, anti_aging, anti_wrinkle, radiance, firmness, depigmenting"
Clear Skin Pro 60 Capsules,35.90,"ANTI-SPOT, ANTIOXIDANT, ANTI-INFLAMMATORY, ANTI-AGING","- 9 active ingredients with clinical studies (pomegranate extract, turmeric, etc.).
- Reduces melanin production by 50%.
- Combats inflammation and glycation (AGEs).
- Suitable for vegans and celiacs.","- Supplement for spots (melasma, lentigos).
- Fair/sensitive skin for antioxidant protection.
- Improves firmness and elasticity.","anti_spot, antioxidant, anti_inflammatory, anti_aging, vitamin_c, collagen"
Clear Azelaic Gel Cream 30ml,39.90,"DAY DEPIGMENTING, ANTI-ACNE, ANTI-SPOT, ANTIOXIDANT, RADIANCE","- Azelaic acid 10% + tranexamic acid + ceramides.
- Reduces spots and boosts radiance.
- Anti-acne treatment (sebum-regulating and anti-inflammatory).
- Safe during pregnancy/breastfeeding.","- For spots (melasma, hyperpigmentation).
- Use during pregnancy/breastfeeding.
- Combination/oily acne-prone skin.","depigmenting, anti_acne, antioxidant, sebum_regulating, azelaic_acid"
Depigmenting Pack,54.90,DAY AND NIGHT DEPIGMENTING TREATMENT,"- Includes Clear Azelaic (day) + Clear Skin R (night).
- Formulas with azelaic acid, resorcinol, and 0.2% retinol.
- Anti-aging and cell renewal action.","- To reduce spots (melasma, lentigos).
- Prevent spots and even tone.
- Complete anti-aging treatment.","depigmenting, anti_acne, antioxidant, retinol, anti_aging"
DMAE Lift 10 Serum 30ml,54.90,"FIRMING, LIFTING EFFECT, FACIAL CONTOUR REMODELING","- DMAE + Hematococcus algae extract.
- Instant 'fresh look' effect.
- Reorganizes dermal structure and prevents sagging.","- To improve firmness and remodel facial contour.
- Combination/oily skin as sole product.
- Dry skin: combine with Glicano Skin serum.","firming, lifting, hydrating, antioxidant, facial_remodeling"
DMAE Lift 10 Cream 50ml,54.90,"FIRMING CREAM, LIFTING EFFECT, FACIAL CONTOUR REMODELING","- Specific formula for neck and décolleté.
- Flash hydrating and firming effect.
- Combats sagging with DMAE and proteoglycans.","- Normal-dry/mature skin.
- Specific care for neck/décolleté.
- Complement to DMAE Lift10 serum.","firming, lifting, hydrating, antioxidant, facial_remodeling"
DMAE Lift 10 Pack Serum + Cream,49.90,"FIRMING, LIFTING EFFECT, FACIAL CONTOUR REMODELING","- Includes Serum 30ml + Cream 50ml.
- Boosts firmness and facial remodeling.
- Cream with extra nutrition for neck/décolleté.","- Face, neck, and décolleté.
- Serum as makeup base.
- Combine according to skin type (combination/oily or dry).","firming, lifting, hydrating, antioxidant, facial_remodeling"
